2021-07-02 08:45:40.606253, 2021-07-02 08:47:30.874536
2021-07-02 08:48:49.889083, 2021-07-02 08:50:39.992832
2021-07-02 08:51:54.032506, 2021-07-02 08:53:42.679937
2021-07-02 08:54:55.857876, 2021-07-02 08:56:47.142190
2021-07-02 08:57:59.978995, 2021-07-02 08:59:49.615784
2021-07-02 09:01:01.679675, 2021-07-02 09:02:51.297756
2021-07-02 09:04:03.902985, 2021-07-02 09:05:53.542440
2021-07-02 09:07:06.442652, 2021-07-02 09:08:57.759253
2021-07-02 09:10:10.580530, 2021-07-02 09:11:58.331499
2021-07-02 09:13:11.308123, 2021-07-02 09:15:01.402263
2021-07-02 09:16:13.706922, 2021-07-02 09:18:05.464978
2021-07-02 09:19:18.459732, 2021-07-02 09:21:06.022035
2021-07-02 09:22:18.186809, 2021-07-02 09:24:04.400631
2021-07-02 09:25:18.657915, 2021-07-02 09:27:09.596063
2021-07-02 09:28:22.737760, 2021-07-02 09:30:12.900609
2021-07-02 09:31:25.308574, 2021-07-02 09:33:14.296711
2021-07-02 09:34:27.358943, 2021-07-02 09:36:15.353923
2021-07-02 09:37:27.778704, 2021-07-02 09:39:16.371276
2021-07-02 09:40:29.501154, 2021-07-02 09:42:18.361729
2021-07-02 09:43:31.048346, 2021-07-02 09:45:20.252357
2021-07-02 09:46:32.907574, 2021-07-02 09:48:21.617630
2021-07-02 09:49:34.605159, 2021-07-02 09:51:22.721960
2021-07-02 09:52:35.179318, 2021-07-02 09:54:25.124754
2021-07-02 09:55:37.751873, 2021-07-02 09:57:25.746989
2021-07-02 09:58:38.932530, 2021-07-02 10:00:27.680196
2021-07-02 10:01:40.702128, 2021-07-02 10:03:30.167921
2021-07-02 10:04:42.863075, 2021-07-02 10:06:31.583238
2021-07-02 10:07:44.249880, 2021-07-02 10:09:33.258514
2021-07-02 10:10:46.109287, 2021-07-02 10:12:35.021501
2021-07-02 10:13:47.821161, 2021-07-02 10:15:37.666579
2021-07-02 10:16:50.453717, 2021-07-02 10:18:41.460029
2021-07-02 10:19:54.609880, 2021-07-02 10:21:46.872751
2021-07-02 10:22:59.968350, 2021-07-02 10:24:48.006493
2021-07-02 10:26:00.896347, 2021-07-02 10:27:50.002437
2021-07-02 10:29:02.887856, 2021-07-02 10:30:55.043387
2021-07-02 10:32:08.413127, 2021-07-02 10:33:57.573233
2021-07-02 10:35:09.653366, 2021-07-02 10:36:59.195362
2021-07-02 10:38:11.646825, 2021-07-02 10:40:03.172773
2021-07-02 10:41:15.979125, 2021-07-02 10:43:07.385456
2021-07-02 10:44:20.829777, 2021-07-02 10:46:12.135491
2021-07-02 10:47:24.548846, 2021-07-02 10:49:14.286933
2021-07-02 10:50:28.547709, 2021-07-02 10:52:17.418849
2021-07-02 10:53:30.592502, 2021-07-02 10:55:20.927987
2021-07-02 10:56:33.297726, 2021-07-02 10:58:23.949150
2021-07-02 10:59:37.017905, 2021-07-02 11:01:25.104472
2021-07-02 11:02:37.248394, 2021-07-02 11:04:25.581468
2021-07-02 11:05:38.502799, 2021-07-02 11:07:28.402613
2021-07-02 11:08:40.822560, 2021-07-02 11:10:29.346909
2021-07-02 11:11:41.694353, 2021-07-02 11:13:29.701065
2021-07-02 11:14:42.148669, 2021-07-02 11:16:32.371724
2021-07-02 11:17:45.109640, 2021-07-02 11:19:33.936344
2021-07-02 11:20:46.267362, 2021-07-02 11:22:35.406170
2021-07-02 11:23:48.316824, 2021-07-02 11:25:36.352188
